xVals,yVals,yErrs,modVals
3.995000123977661133e+00,1.574405555365550242e+02,8.895543324240437144e+00,1.325456829402252765e+02
4.065000057220458984e+00,1.460259862950377965e+02,8.683646524716499115e+00,1.274954917323561716e+02
4.134999990463256836e+00,1.310438750062319286e+02,8.331128027966434146e+00,1.226623250665677460e+02
4.204999923706054688e+00,1.375402485512977648e+02,8.681828220343751568e+00,1.180352385541457494e+02
4.274999856948852539e+00,1.437124657257780598e+02,9.023577572055421214e+00,1.136044714018376567e+02
4.345000028610229492e+00,1.329626449437832889e+02,8.794026699459537966e+00,1.093610805067144298e+02
4.420000076293945312e+00,1.338356889096736779e+02,8.418193854076699623e+00,1.050182361917664480e+02
4.500000000000000000e+00,1.252249250642153697e+02,8.266013173156899541e+00,1.005948862408294673e+02
4.579999923706054688e+00,1.221748777657779357e+02,8.296173421947163007e+00,9.638228052255315959e+01
4.659999847412109375e+00,1.125784193835032454e+02,8.079890782538306837e+00,9.236949865847564922e+01
4.740000009536743164e+00,1.072658676730751921e+02,8.007376246020342592e+00,8.854618822994746097e+01
4.820000171661376953e+00,1.102941265320567510e+02,8.254647107894149016e+00,8.490257104315094239e+01
4.900000095367431641e+00,9.006197392504735433e+01,7.550030741061016570e+00,8.142939315442700376e+01
4.980000019073486328e+00,8.984012701423684177e+01,7.658708018601451784e+00,7.811787759507720352e+01
5.059999942779541016e+00,9.468670208649231768e+01,7.990543257134810951e+00,7.495973228176332270e+01
5.139999866485595703e+00,9.431402674380366591e+01,8.095559811804593053e+00,7.194711409813935177e+01
5.220000028610229492e+00,9.725171478709717121e+01,8.347719857176299385e+00,6.907259696717781594e+01
5.300000190734863281e+00,8.806380896745810105e+01,8.049572307608690025e+00,6.632917421584160422e+01
5.380000114440917969e+00,7.671018491181401089e+01,7.609551599662356836e+00,6.371021924022324612e+01
5.465000152587890625e+00,6.493233193800166703e+01,6.698318988353236136e+00,6.105975084255938157e+01
5.555000066757202148e+00,6.917137496886292070e+01,7.028986048672985376e+00,5.838775705723848830e+01
5.644999980926513672e+00,6.564639872096272200e+01,6.951705970497764397e+00,5.584945713272402656e+01
5.735000133514404297e+00,6.402677664760990695e+01,6.970662827711931797e+00,5.343738653242927228e+01
5.825000047683715820e+00,6.527628368709262929e+01,7.147590879349203341e+00,5.114455087073745432e+01
5.914999961853027344e+00,5.858905291091851808e+01,6.867305222164318046e+00,4.896435912050763051e+01
6.005000114440917969e+00,5.466474594221644878e+01,6.728511493198118920e+00,4.689055221872779811e+01
6.100000143051147461e+00,5.833440565462984040e+01,6.705161973046026347e+00,4.481266579362440439e+01
6.200000047683715820e+00,5.008062076800618456e+01,6.304989051351738816e+00,4.273728226218533166e+01
6.299999952316284180e+00,6.381920101166577552e+01,7.243754223636096334e+00,4.077202828695626380e+01
6.399999856948852539e+00,4.584640422630700840e+01,6.220060952113521502e+00,3.891035122409404323e+01
6.500000000000000000e+00,3.094935407749388290e+01,5.179074360154580781e+00,3.714612197225134338e+01
6.600000143051147461e+00,4.785722377253774340e+01,6.551987513980737532e+00,3.547361747524444553e+01
6.700000047683715820e+00,3.287485078126344007e+01,5.501287566416835695e+00,3.388748434912516672e+01
